URL,Classification,R1,R2
baltische-rundschau.eu/estland-nato-manoever-ohne-russen,,,
facebook.com/story.php?story_fbid=646329745705481&id=564647410540382,,,
nra.lv/sports/237369-sis-jaizlasa-ikvienam-latvietim-lidzjuteja-phjonchana-versas-pie-majas-palikusajiem.htm,,,
